rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,
05/25/2025,21:15:56.48,-997.56,-31.74,3.91,1.31,0.49,0.34,
05/25/2025,21:15:56.55,-991.70,-24.90,-1.95,3.17,2.32,1.31,
05/25/2025,21:15:56.57,-999.02,-32.23,-14.16,3.20,1.86,-0.09,
05/25/2025,21:15:56.59,-991.70,-33.69,-4.39,1.92,2.62,0.91,
05/25/2025,21:15:56.61,-997.07,-28.32,-3.42,1.52,4.05,-3.57,
05/25/2025,21:15:56.63,-993.16,-24.90,-3.42,1.95,2.50,-1.19,
05/25/2025,21:15:56.65,-997.07,-27.34,-0.49,2.32,1.55,-4.21,
05/25/2025,21:15:56.67,-1005.37,-17.09,-4.88,2.29,2.71,-2.50,
05/25/2025,21:15:56.69,-1005.37,-23.93,-3.42,1.92,4.45,-1.74,
05/25/2025,21:15:56.71,-1001.95,-33.20,-2.44,2.20,1.13,3.45,
05/25/2025,21:15:56.73,-992.68,-21.97,-4.39,1.46,1.65,-0.64,
05/25/2025,21:15:56.75,-1013.67,-26.37,-3.91,1.83,1.65,0.52,
05/25/2025,21:15:56.77,-997.56,-33.69,-9.77,2.23,1.01,-2.44,
05/25/2025,21:15:56.79,-1001.46,-22.95,-14.16,0.85,4.21,-0.09,
05/25/2025,21:15:56.81,-1011.23,-35.64,-7.81,0.76,2.47,-2.04,
05/25/2025,21:15:56.83,-989.75,-21.48,-3.91,0.76,3.51,0.76,
05/25/2025,21:15:56.85,-994.14,-14.16,-16.60,2.01,2.32,-0.76,
05/25/2025,21:15:56.87,-999.51,-32.23,-7.81,1.86,1.80,0.03,
05/25/2025,21:15:56.89,-998.54,-30.76,-18.55,1.74,1.52,-0.06,
05/25/2025,21:15:56.91,-1001.46,-35.16,-15.14,0.73,2.93,-2.04,
05/25/2025,21:15:56.93,-997.56,-25.39,-10.74,3.54,1.22,0.91,
05/25/2025,21:15:56.95,-1011.23,-24.41,-14.16,2.07,1.43,-0.55,
05/25/2025,21:15:56.97,-996.58,-20.51,-9.28,2.01,1.59,0.40,
05/25/2025,21:15:56.99,-999.51,-20.02,-13.18,1.65,-0.76,-0.24,
05/25/2025,21:15:57.04,-1004.88,-34.67,-17.09,1.49,2.65,4.09,
05/25/2025,21:15:57.06,-1000.98,-35.64,-9.77,1.40,1.34,-1.65,
05/25/2025,21:15:57.08,-996.09,-23.44,-16.11,1.68,1.46,0.09,
05/25/2025,21:15:57.10,-1007.32,-25.88,-4.39,0.88,2.47,-0.73,
05/25/2025,21:15:57.12,-990.23,-20.02,-8.79,1.71,-0.18,1.16,
05/25/2025,21:15:57.14,-1002.93,-16.60,-19.53,0.30,1.37,-2.10,
05/25/2025,21:15:57.16,-1005.37,-30.27,-6.84,0.79,2.62,-2.77,
05/25/2025,21:15:57.18,-1007.32,-34.18,-5.86,2.56,-0.70,-1.28,
05/25/2025,21:15:57.20,-1010.74,-27.34,-2.44,1.37,2.65,0.73,
05/25/2025,21:15:57.22,-1004.39,-16.11,-14.16,2.87,-0.70,-2.07,
05/25/2025,21:15:57.24,-1003.91,-24.41,-4.88,1.65,0.61,-1.59,
05/25/2025,21:15:57.26,-1005.86,-28.81,-2.93,1.59,0.27,-2.74,
05/25/2025,21:15:57.28,-999.51,-23.44,-10.74,1.31,1.89,1.71,
05/25/2025,21:15:57.30,-987.30,-35.16,-18.55,-0.27,1.04,1.25,
05/25/2025,21:15:57.32,-1003.42,-24.90,-0.49,1.46,2.77,2.50,
05/25/2025,21:15:57.34,-1006.84,-22.95,0.49,-1.31,2.59,-0.40,
05/25/2025,21:15:57.36,-992.19,-28.32,-12.21,1.16,1.52,0.00,
05/25/2025,21:15:57.38,-997.07,-28.32,-11.72,0.95,3.84,-1.65,
05/25/2025,21:15:57.40,-997.07,-32.23,-10.74,2.53,3.29,0.58,
05/25/2025,21:15:57.42,-1003.91,-21.48,-7.32,0.64,1.07,-0.43,
05/25/2025,21:15:57.44,-993.65,-36.13,-4.39,4.21,1.40,0.00,
05/25/2025,21:15:57.46,-1000.98,-27.83,1.95,2.29,4.42,-0.34,
05/25/2025,21:15:57.48,-998.05,-24.41,-10.25,0.58,2.38,-0.98,
05/25/2025,21:15:57.50,-1002.93,-28.32,-13.67,0.98,2.53,-0.06,
05/25/2025,21:15:57.55,-1008.79,-23.93,-12.70,1.01,1.89,-1.77,
05/25/2025,21:15:57.57,-991.21,-49.32,-10.74,0.03,0.15,-1.31,
05/25/2025,21:15:57.59,-1013.67,-24.90,-5.86,2.10,1.92,-0.70,
05/25/2025,21:15:57.61,-1011.23,-25.88,-11.72,1.01,1.98,1.01,
05/25/2025,21:15:57.63,-1000.00,-26.37,-6.84,1.16,1.31,1.62,
05/25/2025,21:15:57.65,-990.23,-19.04,0.98,1.13,-0.24,-3.41,
05/25/2025,21:15:57.67,-1001.95,-21.48,-12.21,2.23,1.22,-0.03,
05/25/2025,21:15:57.69,-999.51,-25.88,-9.28,0.76,3.41,-1.65,
05/25/2025,21:15:57.71,-1001.46,-35.64,-4.88,2.35,0.70,-0.21,
05/25/2025,21:15:57.73,-991.21,-26.86,3.91,1.68,1.98,-0.09,
05/25/2025,21:15:57.75,-990.23,-16.60,-17.58,1.49,0.88,-0.64,
05/25/2025,21:15:57.77,-997.07,-26.86,-11.23,2.26,2.38,-0.58,
05/25/2025,21:15:57.79,-1011.72,-24.41,-9.28,2.93,2.16,0.61,
05/25/2025,21:15:57.81,-1006.84,-19.04,-10.74,1.49,-0.79,1.07,
05/25/2025,21:15:57.83,-1000.49,-21.97,-9.77,2.65,3.26,2.90,
05/25/2025,21:15:57.85,-1001.95,-28.32,-6.35,0.37,1.71,4.63,
05/25/2025,21:15:57.87,-1004.88,-10.25,-1.95,0.58,4.12,-3.87,
05/25/2025,21:15:57.89,-1001.46,-23.93,-15.14,0.12,3.32,-2.62,
05/25/2025,21:15:57.91,-1003.91,-24.41,-9.77,1.31,1.01,0.00,
05/25/2025,21:15:57.93,-984.38,-32.23,2.93,3.38,0.21,0.52,
05/25/2025,21:15:57.95,-1007.81,-37.11,-3.91,1.07,2.47,2.20,
05/25/2025,21:15:57.97,-994.63,-25.39,-14.16,1.46,0.85,2.32,
05/25/2025,21:15:57.99,-1000.98,-15.14,7.81,1.16,-0.21,-1.31,
05/25/2025,21:15:58.01,-997.07,-28.32,-10.74,3.93,2.04,-1.34,
05/25/2025,21:15:58.06,-1002.93,-30.76,11.23,0.49,-1.40,-2.50,
05/25/2025,21:15:58.08,-985.84,-21.48,-13.18,2.80,0.64,1.52,
05/25/2025,21:15:58.10,-1006.84,-34.18,-13.67,0.15,2.44,-0.40,
05/25/2025,21:15:58.12,-1002.44,-21.97,-2.93,2.62,1.77,-1.55,
05/25/2025,21:15:58.14,-1006.84,-28.81,-10.25,0.55,4.91,-2.01,
05/25/2025,21:15:58.16,-996.09,-34.18,-14.65,1.89,1.04,-1.04,
