rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,
05/25/2025,21:19:40.95,5.86,-1016.60,-7.32,1.37,0.55,-3.35,
05/25/2025,21:19:41.02,10.25,-1019.53,3.42,-0.15,0.98,-2.26,
05/25/2025,21:19:41.04,23.44,-1021.00,-3.91,-0.43,0.00,-1.62,
05/25/2025,21:19:41.06,6.84,-1027.83,-5.37,0.52,1.43,-0.09,
05/25/2025,21:19:41.08,-3.91,-1025.88,-7.81,-0.12,1.22,0.70,
05/25/2025,21:19:41.10,-4.39,-1008.79,-6.84,2.77,0.73,3.81,
05/25/2025,21:19:41.12,0.49,-1036.62,-3.42,2.77,2.07,-2.01,
05/25/2025,21:19:41.14,6.35,-1023.93,-8.30,-1.04,1.19,-4.82,
05/25/2025,21:19:41.16,15.14,-1027.34,0.98,0.64,2.68,-4.54,
05/25/2025,21:19:41.18,1.95,-1021.48,-6.84,1.16,2.38,2.74,
05/25/2025,21:19:41.20,2.44,-1028.81,-6.35,0.37,2.04,-0.37,
05/25/2025,21:19:41.22,11.23,-1028.32,-7.32,2.16,1.74,-0.18,
05/25/2025,21:19:41.24,3.42,-1024.41,-2.93,1.16,2.35,-1.55,
05/25/2025,21:19:41.26,-0.49,-1033.69,-0.98,1.37,3.32,-1.77,
05/25/2025,21:19:41.28,0.49,-1023.44,-1.95,-1.07,0.40,-2.74,
05/25/2025,21:19:41.30,17.09,-1020.51,2.93,1.98,3.90,1.22,
05/25/2025,21:19:41.32,-6.35,-1022.95,2.93,3.38,0.27,-1.07,
05/25/2025,21:19:41.34,0.49,-1024.41,0.00,0.34,1.16,0.00,
05/25/2025,21:19:41.36,5.86,-1021.97,-9.28,2.26,2.29,1.92,
05/25/2025,21:19:41.38,-6.84,-1019.04,0.49,2.74,1.98,-1.31,
05/25/2025,21:19:41.40,0.98,-1029.79,-20.51,2.74,2.07,-2.16,
05/25/2025,21:19:41.42,3.91,-1019.53,-1.46,3.26,-1.10,-3.38,
05/25/2025,21:19:41.44,5.37,-1019.04,-13.18,0.49,3.57,0.67,
05/25/2025,21:19:41.46,6.35,-1017.09,-0.49,0.88,1.22,2.35,
05/25/2025,21:19:41.51,3.42,-1019.53,-3.91,-0.43,2.41,-1.77,
05/25/2025,21:19:41.53,1.46,-1009.28,-5.37,0.52,2.77,-0.79,
05/25/2025,21:19:41.55,0.98,-1015.62,-5.86,-0.70,3.48,-1.92,
05/25/2025,21:19:41.57,-0.98,-1026.37,-4.88,0.58,3.26,1.01,
05/25/2025,21:19:41.59,7.32,-1026.37,3.91,2.41,1.92,0.98,
05/25/2025,21:19:41.61,6.35,-1024.90,3.91,1.40,-0.15,3.32,
05/25/2025,21:19:41.63,5.86,-1029.79,-7.32,1.62,0.98,-0.40,
05/25/2025,21:19:41.65,5.86,-1020.51,-3.42,2.26,4.70,0.00,
05/25/2025,21:19:41.67,11.72,-1024.90,-16.11,1.65,1.74,-0.24,
05/25/2025,21:19:41.69,-0.49,-1021.00,-3.91,0.64,2.41,-1.34,
05/25/2025,21:19:41.71,0.49,-1023.44,-8.30,0.09,3.54,-1.86,
05/25/2025,21:19:41.73,-16.60,-1022.46,6.84,2.90,1.01,-1.65,
05/25/2025,21:19:41.75,3.42,-1018.07,-12.70,0.61,2.93,3.14,
05/25/2025,21:19:41.77,15.62,-1010.25,4.88,2.56,1.59,-2.62,
05/25/2025,21:19:41.79,1.46,-1029.30,-0.98,0.82,1.04,-0.30,
05/25/2025,21:19:41.81,4.39,-1026.37,-3.91,-0.06,-0.49,-1.16,
05/25/2025,21:19:41.83,-15.14,-1032.23,-1.95,0.64,0.70,-1.95,
05/25/2025,21:19:41.85,0.00,-1017.58,-10.74,1.55,0.91,1.98,
05/25/2025,21:19:41.87,-6.84,-1027.83,-7.32,2.62,2.26,-1.92,
05/25/2025,21:19:41.89,11.72,-1026.37,-6.35,2.38,1.59,-1.95,
05/25/2025,21:19:41.91,-2.44,-1023.44,-5.37,3.11,2.90,-0.79,
05/25/2025,21:19:41.93,4.88,-1023.44,-3.42,4.30,1.49,-2.35,
05/25/2025,21:19:41.95,9.77,-1036.13,-6.35,1.52,0.67,-1.19,
05/25/2025,21:19:41.97,2.93,-1017.09,0.49,2.41,-0.18,1.86,
05/25/2025,21:19:42.02,0.49,-1023.93,0.00,1.83,3.20,-1.13,
05/25/2025,21:19:42.04,-3.42,-1020.02,-5.86,0.12,2.38,-1.04,
05/25/2025,21:19:42.06,4.39,-1031.25,-11.23,0.46,0.61,-1.59,
05/25/2025,21:19:42.08,-1.46,-1012.21,-2.44,2.04,1.04,-0.88,
05/25/2025,21:19:42.10,0.00,-1028.81,-7.81,2.80,1.62,0.76,
05/25/2025,21:19:42.12,16.11,-1028.81,2.44,0.64,-1.34,-2.23,
05/25/2025,21:19:42.14,12.21,-1013.67,6.84,0.67,0.82,-3.26,
05/25/2025,21:19:42.16,3.42,-1021.97,1.95,1.01,0.98,0.64,
05/25/2025,21:19:42.18,-5.37,-1022.46,-5.37,0.03,0.85,-2.50,
05/25/2025,21:19:42.20,0.98,-1022.95,-8.79,2.84,3.05,1.34,
05/25/2025,21:19:42.22,3.91,-1011.23,-0.98,2.23,0.58,0.70,
05/25/2025,21:19:42.24,-6.35,-1030.76,-12.70,-0.43,0.21,-0.46,
05/25/2025,21:19:42.26,-0.49,-1007.32,1.95,0.73,1.92,-0.43,
05/25/2025,21:19:42.28,5.37,-1016.11,8.79,1.37,2.99,0.21,
05/25/2025,21:19:42.30,7.81,-1025.88,5.37,3.45,1.43,-1.37,
05/25/2025,21:19:42.32,-5.37,-1022.46,21.97,3.48,2.87,0.43,
05/25/2025,21:19:42.34,0.00,-1023.93,-9.77,1.80,0.61,-1.98,
05/25/2025,21:19:42.36,0.00,-1033.69,-4.88,0.79,2.13,0.06,
05/25/2025,21:19:42.38,14.65,-1022.46,-6.35,1.22,1.77,1.25,
05/25/2025,21:19:42.40,-2.93,-1014.65,-0.49,0.55,1.49,-4.05,
05/25/2025,21:19:42.42,1.95,-1020.51,-6.84,0.40,1.74,-2.07,
05/25/2025,21:19:42.44,-6.84,-1028.81,-14.16,-0.27,2.01,-0.67,
05/25/2025,21:19:42.46,1.95,-1029.30,-11.72,2.07,2.44,-2.47,
05/25/2025,21:19:42.48,1.46,-1026.86,-2.93,2.41,1.19,-0.03,
05/25/2025,21:19:42.53,-0.49,-1014.65,-1.46,1.65,0.64,-0.43,
05/25/2025,21:19:42.55,4.39,-1021.97,-3.91,1.37,2.10,2.20,
05/25/2025,21:19:42.57,7.32,-1019.04,1.46,2.04,0.46,0.12,
05/25/2025,21:19:42.59,6.84,-1022.46,-7.32,2.90,2.04,0.67,
05/25/2025,21:19:42.61,3.91,-1018.55,-6.35,2.13,0.12,-0.27,
05/25/2025,21:19:42.63,-1.46,-1017.58,-1.95,0.27,0.58,-1.89,
05/25/2025,21:19:42.65,7.32,-1025.39,-10.25,0.64,1.01,-2.10,
05/25/2025,21:19:42.67,9.77,-1019.53,0.98,0.30,1.65,-0.61,
05/25/2025,21:19:42.69,4.88,-1021.48,-9.77,1.86,1.16,-1.43,
05/25/2025,21:19:42.71,0.98,-1017.09,-10.25,1.80,2.71,3.20,
05/25/2025,21:19:42.73,-3.91,-1025.88,-1.95,0.37,0.06,-3.45,
05/25/2025,21:19:42.75,9.77,-1025.39,10.74,1.28,0.34,-1.04,
05/25/2025,21:19:42.77,6.35,-1015.14,4.88,1.95,0.58,-0.61,
05/25/2025,21:19:42.80,-0.98,-1023.44,2.93,0.30,1.98,1.07,
05/25/2025,21:19:42.82,-1.95,-1021.48,-11.23,0.82,2.87,0.52,
05/25/2025,21:19:42.84,3.91,-1015.62,3.42,1.28,2.44,-2.23,
05/25/2025,21:19:42.86,2.44,-1021.00,-7.81,0.61,3.17,-1.52,
05/25/2025,21:19:42.88,1.46,-1021.00,-5.86,0.85,2.23,-2.04,
05/25/2025,21:19:42.90,1.95,-1025.88,-2.93,1.92,1.40,-1.86,
05/25/2025,21:19:42.92,-1.46,-1011.23,4.39,1.13,0.21,-0.95,
05/25/2025,21:19:42.94,-1.95,-1011.72,-6.35,0.15,2.23,-0.91,
05/25/2025,21:19:42.96,0.00,-1030.27,3.42,-0.67,1.80,-2.26,
05/25/2025,21:19:42.98,2.93,-1017.58,-6.84,1.07,2.38,0.98,
05/25/2025,21:19:43.00,11.23,-1026.37,-4.39,2.20,1.86,-0.98,
05/25/2025,21:19:43.05,15.14,-1020.51,2.44,-0.12,-0.03,-0.12,
05/25/2025,21:19:43.07,-1.95,-1025.88,4.88,-0.03,1.65,0.30,
05/25/2025,21:19:43.09,2.44,-1017.09,2.93,1.77,1.83,-1.22,
05/25/2025,21:19:43.11,-1.46,-1009.28,0.00,3.99,1.80,2.13,
05/25/2025,21:19:43.13,-7.32,-1027.83,-2.93,1.10,2.47,-0.49,
05/25/2025,21:19:43.15,1.46,-1009.77,8.30,1.28,3.48,-0.15,
05/25/2025,21:19:43.17,3.91,-1012.21,-2.93,-0.30,-0.67,-0.73,
05/25/2025,21:19:43.19,11.72,-1010.74,-16.11,-0.27,2.35,-1.49,
05/25/2025,21:19:43.21,4.88,-1017.09,6.84,2.16,2.29,-0.40,
05/25/2025,21:19:43.23,3.42,-1022.95,-15.62,1.31,0.58,-1.22,
05/25/2025,21:19:43.25,-0.49,-1021.97,2.44,2.80,1.62,1.19,
05/25/2025,21:19:43.27,1.46,-1014.65,0.00,1.01,0.40,-2.20,
05/25/2025,21:19:43.29,9.28,-1029.30,-6.84,1.13,0.98,2.41,
05/25/2025,21:19:43.31,-8.30,-1032.71,6.35,1.49,2.23,0.09,
05/25/2025,21:19:43.33,0.00,-1026.37,-8.30,1.86,1.22,1.04,
05/25/2025,21:19:43.35,0.98,-1025.88,-4.39,0.67,1.77,-0.24,
05/25/2025,21:19:43.37,-3.42,-1024.41,-5.37,2.59,2.04,-2.07,
05/25/2025,21:19:43.39,12.70,-1027.34,-1.46,1.22,1.37,0.49,
05/25/2025,21:19:43.41,0.49,-1020.51,-7.81,0.61,0.70,-0.09,
05/25/2025,21:19:43.43,3.42,-1017.09,6.35,-1.10,1.77,1.95,
05/25/2025,21:19:43.45,5.86,-1023.93,1.46,0.49,-0.24,1.16,
05/25/2025,21:19:43.47,12.70,-1021.97,-2.93,1.52,2.50,-0.70,
05/25/2025,21:19:43.49,11.23,-1012.21,-4.39,3.14,3.81,-1.07,
05/25/2025,21:19:43.51,5.86,-1022.46,0.98,0.55,1.62,-0.30,
05/25/2025,21:19:43.56,18.07,-1013.18,-3.42,0.95,1.83,1.10,
05/25/2025,21:19:43.58,3.42,-1016.11,0.98,3.26,3.11,2.65,
05/25/2025,21:19:43.60,4.39,-1021.97,7.81,1.43,2.77,2.53,
05/25/2025,21:19:43.62,-5.86,-1011.72,14.65,1.07,2.93,-0.55,
05/25/2025,21:19:43.64,1.95,-1022.46,-5.37,1.13,0.88,1.19,
05/25/2025,21:19:43.66,1.46,-1037.60,0.00,1.92,1.80,-2.53,
