rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,
05/25/2025,21:13:33.24,21.48,-27.34,-1027.34,2.07,0.82,3.26,
05/25/2025,21:13:33.30,6.35,-27.34,-1020.51,1.86,0.73,-4.48,
05/25/2025,21:13:33.32,5.37,-25.88,-1011.72,0.46,4.24,0.03,
05/25/2025,21:13:33.34,1.95,-21.00,-1017.58,1.01,2.50,-1.46,
05/25/2025,21:13:33.36,4.88,-15.62,-1026.37,2.38,1.16,1.49,
05/25/2025,21:13:33.38,16.11,-16.60,-1018.07,0.03,2.23,-2.38,
05/25/2025,21:13:33.40,10.74,-21.00,-1029.30,1.68,1.83,0.00,
05/25/2025,21:13:33.42,20.51,-21.48,-1020.02,1.46,1.59,-2.65,
05/25/2025,21:13:33.44,20.02,-32.23,-1016.11,2.35,0.34,-0.91,
05/25/2025,21:13:33.46,5.86,-26.37,-1030.76,3.08,-0.40,-3.35,
05/25/2025,21:13:33.48,12.70,-26.37,-1020.02,0.34,2.07,-2.50,
05/25/2025,21:13:33.50,14.65,-25.39,-1028.32,1.71,2.04,1.74,
05/25/2025,21:13:33.52,21.48,-25.39,-1028.32,1.19,1.89,-3.38,
05/25/2025,21:13:33.54,9.77,-44.92,-1031.74,2.71,2.07,-1.07,
05/25/2025,21:13:33.56,6.84,-15.62,-1027.83,1.74,0.85,-0.61,
05/25/2025,21:13:33.58,10.74,-29.30,-1023.44,-0.09,1.98,-2.44,
05/25/2025,21:13:33.61,4.88,-23.93,-1026.37,1.52,2.71,-2.16,
05/25/2025,21:13:33.63,16.60,-29.30,-1023.44,2.07,1.16,0.82,
05/25/2025,21:13:33.65,5.37,-36.13,-1013.18,1.55,2.23,-2.16,
05/25/2025,21:13:33.67,14.16,-33.20,-1033.20,2.62,1.71,0.64,
05/25/2025,21:13:33.69,0.49,-27.34,-1028.81,2.74,2.99,0.67,
05/25/2025,21:13:33.71,5.86,-31.74,-1024.41,2.93,4.30,1.83,
05/25/2025,21:13:33.73,12.21,-28.32,-1024.90,1.37,4.05,2.01,
05/25/2025,21:13:33.75,9.28,-27.34,-1027.34,1.10,1.68,-1.65,
05/25/2025,21:13:33.79,14.65,-27.83,-1031.25,0.73,4.66,-3.90,
05/25/2025,21:13:33.82,10.74,-34.67,-1023.93,0.82,1.28,0.15,
05/25/2025,21:13:33.84,21.97,-20.02,-1026.37,3.14,2.04,0.88,
05/25/2025,21:13:33.86,13.67,-41.99,-1024.90,0.82,0.76,3.45,
05/25/2025,21:13:33.88,16.60,-21.48,-1022.95,1.98,0.24,-0.88,
05/25/2025,21:13:33.90,7.32,-20.51,-1023.93,1.65,0.88,-2.10,
05/25/2025,21:13:33.92,2.44,-29.30,-1015.62,-0.12,1.31,3.17,
05/25/2025,21:13:33.94,17.58,-29.79,-1016.60,0.40,2.07,-2.62,
05/25/2025,21:13:33.96,9.77,-23.44,-1033.20,2.26,2.10,-0.06,
05/25/2025,21:13:33.98,24.90,-37.60,-1023.93,0.85,1.34,0.79,
05/25/2025,21:13:34.00,28.32,-23.44,-1032.71,0.64,1.86,0.58,
05/25/2025,21:13:34.02,3.42,-23.44,-1015.62,2.16,2.41,-2.23,
05/25/2025,21:13:34.04,15.62,-20.02,-1025.88,1.25,-1.10,-1.55,
05/25/2025,21:13:34.06,9.28,-25.39,-1038.57,2.50,-1.10,-1.86,
05/25/2025,21:13:34.08,11.23,-29.30,-1018.07,2.20,2.74,-3.02,
05/25/2025,21:13:34.10,4.39,-26.37,-1019.04,0.55,1.55,-1.55,
05/25/2025,21:13:34.12,11.23,-24.41,-1033.20,1.55,0.40,-0.58,
