rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,
05/25/2025,21:15:11.19,995.61,-28.81,-10.25,1.80,1.68,1.04,
05/25/2025,21:15:11.25,1005.37,-30.27,-16.60,1.16,1.22,1.37,
05/25/2025,21:15:11.27,1014.16,-28.81,-7.32,1.04,2.38,-0.67,
05/25/2025,21:15:11.29,1002.93,-20.02,-6.84,0.64,2.32,-1.71,
05/25/2025,21:15:11.31,1009.77,-19.04,-12.21,-0.30,2.65,-0.67,
05/25/2025,21:15:11.33,997.56,-21.97,-20.02,2.20,0.82,1.43,
05/25/2025,21:15:11.35,995.12,-32.23,-14.16,0.37,0.00,0.95,
05/25/2025,21:15:11.37,1004.39,-31.74,-14.16,1.71,2.71,-1.43,
05/25/2025,21:15:11.39,991.21,-18.55,-9.28,1.98,2.74,-3.81,
05/25/2025,21:15:11.41,993.16,-37.60,-13.67,-0.21,0.24,-3.54,
05/25/2025,21:15:11.43,1003.91,-20.02,0.98,1.83,1.04,-3.99,
05/25/2025,21:15:11.45,1000.49,-21.00,-16.11,1.10,2.01,-2.84,
05/25/2025,21:15:11.47,997.07,-34.18,-11.23,0.76,1.19,-2.16,
05/25/2025,21:15:11.49,1003.91,-31.25,-20.02,3.29,3.11,-0.43,
05/25/2025,21:15:11.51,987.30,-23.44,-14.16,1.43,0.85,0.98,
05/25/2025,21:15:11.53,1007.81,-21.97,-12.21,1.98,-0.06,-2.50,
05/25/2025,21:15:11.55,993.16,-28.81,-14.16,1.89,-0.40,0.64,
05/25/2025,21:15:11.57,992.19,-34.67,-12.21,1.13,0.76,-3.23,
05/25/2025,21:15:11.59,1013.18,-26.86,-5.37,0.58,-0.85,-1.22,
05/25/2025,21:15:11.61,997.56,-26.37,-12.70,1.89,2.26,-0.64,
05/25/2025,21:15:11.63,992.19,-17.58,-12.21,0.85,2.59,0.98,
05/25/2025,21:15:11.66,987.79,-29.30,-8.30,2.13,3.20,1.28,
05/25/2025,21:15:11.68,1011.23,-21.97,-9.28,0.43,4.60,-1.89,
05/25/2025,21:15:11.70,1006.84,-24.41,-14.65,-0.06,0.34,0.73,
05/25/2025,21:15:11.74,999.02,-21.48,-5.86,1.52,0.24,-0.30,
05/25/2025,21:15:11.77,999.51,-31.74,-2.44,0.34,1.62,0.64,
05/25/2025,21:15:11.79,982.42,-19.04,-16.11,0.88,1.40,-2.47,
05/25/2025,21:15:11.81,1007.32,-31.25,-22.95,1.07,1.49,-2.16,
05/25/2025,21:15:11.83,1000.98,-23.44,-14.65,0.64,2.53,-0.09,
05/25/2025,21:15:11.85,1001.46,-43.95,-11.23,1.40,2.16,3.48,
05/25/2025,21:15:11.87,995.12,-35.16,-12.21,1.16,1.01,1.65,
05/25/2025,21:15:11.89,997.07,-27.83,-13.67,0.82,2.77,1.34,
05/25/2025,21:15:11.91,998.54,-22.95,-16.60,0.46,3.69,-1.77,
05/25/2025,21:15:11.93,1001.95,-31.74,-13.67,1.52,0.43,0.03,
05/25/2025,21:15:11.95,1000.49,-20.51,-6.35,0.24,2.56,-1.40,
05/25/2025,21:15:11.97,1004.39,-26.86,-0.98,2.80,2.59,-0.76,
05/25/2025,21:15:11.99,999.02,-33.69,-14.65,1.25,3.02,1.77,
05/25/2025,21:15:12.01,992.19,-21.97,-15.14,0.21,-0.40,0.18,
