rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,
05/25/2025,21:17:48.13,-10.25,984.86,10.74,1.37,2.56,-1.83,
05/25/2025,21:17:48.20,-21.00,979.98,0.98,2.32,1.25,-1.68,
05/25/2025,21:17:48.22,-16.11,970.21,2.93,1.71,1.77,-2.04,
05/25/2025,21:17:48.24,-21.48,980.47,-1.95,1.25,1.46,-0.95,
05/25/2025,21:17:48.26,-19.53,984.86,0.98,1.01,3.05,-1.52,
05/25/2025,21:17:48.28,-16.60,971.68,-11.23,0.06,2.50,2.07,
05/25/2025,21:17:48.30,-12.70,979.98,-7.32,3.63,1.89,-2.13,
05/25/2025,21:17:48.32,-10.74,981.45,3.42,2.77,2.80,-1.10,
05/25/2025,21:17:48.34,-12.21,981.93,3.42,3.48,-0.40,0.34,
05/25/2025,21:17:48.36,-22.46,981.45,1.46,0.91,1.80,0.37,
05/25/2025,21:17:48.38,-8.79,982.42,4.39,2.77,0.70,-0.91,
05/25/2025,21:17:48.40,-9.28,967.29,4.39,0.73,-0.70,-1.92,
05/25/2025,21:17:48.42,-7.32,982.91,3.42,3.75,-0.15,-0.03,
05/25/2025,21:17:48.44,-10.25,972.17,2.93,1.98,1.86,0.82,
05/25/2025,21:17:48.46,-5.37,987.79,3.42,1.52,1.40,3.93,
05/25/2025,21:17:48.48,-12.21,980.47,-7.81,1.40,1.98,-1.01,
05/25/2025,21:17:48.50,-19.53,972.17,-5.86,2.23,-0.30,1.74,
05/25/2025,21:17:48.52,-24.90,963.38,14.65,1.37,0.70,-0.61,
05/25/2025,21:17:48.54,-12.70,982.42,-0.98,0.76,0.52,1.59,
05/25/2025,21:17:48.56,-10.25,972.17,1.95,0.88,2.59,-0.79,
05/25/2025,21:17:48.58,-10.74,988.28,-0.98,1.77,1.89,-0.73,
05/25/2025,21:17:48.60,-15.14,980.96,-4.88,-0.76,2.90,-2.32,
05/25/2025,21:17:48.62,-22.95,970.21,3.91,1.43,2.23,-0.98,
05/25/2025,21:17:48.64,-8.79,979.00,-6.84,4.42,3.45,2.56,
05/25/2025,21:17:48.69,-16.11,978.52,0.98,2.93,2.62,-1.34,
05/25/2025,21:17:48.71,-15.62,972.66,-4.88,0.27,1.37,-2.10,
05/25/2025,21:17:48.73,-11.23,983.89,0.98,2.44,0.73,0.09,
05/25/2025,21:17:48.75,-11.72,991.70,0.49,1.43,1.46,1.31,
05/25/2025,21:17:48.77,-21.00,986.82,-11.72,2.16,1.74,2.07,
05/25/2025,21:17:48.79,-13.18,978.52,-1.46,4.70,1.31,-0.91,
05/25/2025,21:17:48.81,-17.09,967.77,-5.37,0.95,3.08,-1.55,
05/25/2025,21:17:48.83,-11.23,968.26,-5.37,2.68,1.16,-2.84,
05/25/2025,21:17:48.85,-4.39,982.91,-3.42,3.14,0.55,2.65,
05/25/2025,21:17:48.87,-13.18,977.05,2.93,-0.58,1.07,-2.93,
05/25/2025,21:17:48.89,-26.37,978.03,-2.93,1.46,2.53,-1.01,
05/25/2025,21:17:48.91,-12.70,967.77,3.42,0.67,2.20,1.25,
