rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,
05/25/2025,21:12:22.81,-6.35,-31.74,993.65,2.16,1.77,-0.61,
05/25/2025,21:12:22.88,-13.18,-19.53,992.19,2.01,4.24,-2.26,
05/25/2025,21:12:22.90,-7.81,-23.44,994.63,3.51,-1.22,1.71,
05/25/2025,21:12:22.92,-11.72,-14.16,988.28,3.14,0.64,-2.53,
05/25/2025,21:12:22.94,-7.81,-16.60,997.56,2.71,1.77,-0.34,
05/25/2025,21:12:22.96,-14.65,-24.90,991.21,2.56,1.95,-0.40,
05/25/2025,21:12:22.98,-4.88,-18.55,999.51,2.20,1.37,0.09,
05/25/2025,21:12:23.00,-9.77,-20.02,1005.86,-0.49,0.61,-1.16,
05/25/2025,21:12:23.02,-10.25,-21.00,994.14,1.62,2.10,-2.59,
05/25/2025,21:12:23.04,-15.62,-22.46,996.58,0.79,4.88,1.62,
05/25/2025,21:12:23.06,2.44,-34.18,994.14,1.37,3.26,-0.82,
05/25/2025,21:12:23.08,-12.21,-27.34,1001.95,2.47,2.23,-2.20,
05/25/2025,21:12:23.10,-12.70,-16.11,995.61,2.77,1.25,-2.07,
05/25/2025,21:12:23.12,4.88,-30.27,1001.46,0.43,2.29,-1.65,
05/25/2025,21:12:23.14,2.44,-20.02,1003.42,0.37,0.67,1.46,
05/25/2025,21:12:23.16,-7.32,-19.04,989.75,-0.73,3.81,-0.27,
05/25/2025,21:12:23.18,-5.37,-26.37,1001.95,-0.27,2.56,-0.15,
05/25/2025,21:12:23.20,-3.91,-13.67,981.93,1.95,2.01,1.07,
05/25/2025,21:12:23.22,-4.39,-28.81,1000.49,0.30,1.25,-0.09,
05/25/2025,21:12:23.24,-6.84,-23.93,988.77,0.27,3.02,-2.41,
05/25/2025,21:12:23.26,-6.35,-25.88,992.19,0.49,1.40,-2.99,
05/25/2025,21:12:23.28,-0.49,-20.02,1000.49,0.03,1.55,-0.82,
05/25/2025,21:12:23.30,-12.70,-19.53,984.86,1.62,0.70,-1.04,
05/25/2025,21:12:23.32,-12.70,-23.44,992.19,0.98,2.44,-1.83,
05/25/2025,21:12:23.37,-14.16,-25.39,1000.49,0.82,0.85,1.34,
05/25/2025,21:12:23.39,0.49,-26.86,998.54,1.25,1.92,-2.44,
05/25/2025,21:12:23.41,-5.86,-29.30,988.77,-0.06,3.35,-0.49,
05/25/2025,21:12:23.43,2.44,-21.97,982.42,1.83,2.38,0.12,
05/25/2025,21:12:23.45,-18.07,-21.97,987.79,3.48,-2.87,-3.23,
05/25/2025,21:12:23.47,-18.07,-21.00,993.16,2.56,-1.83,1.65,
05/25/2025,21:12:23.49,0.00,-16.11,991.21,1.65,1.80,0.61,
05/25/2025,21:12:23.51,-6.35,-16.60,1006.35,1.19,3.78,3.41,
05/25/2025,21:12:23.53,-6.35,-18.07,983.40,2.13,1.31,0.18,
05/25/2025,21:12:23.55,2.44,-20.02,1001.46,1.01,3.08,0.34,
05/25/2025,21:12:23.57,-6.84,-38.57,995.12,2.20,1.16,-1.25,
05/25/2025,21:12:23.59,-8.79,-28.32,992.19,3.72,0.82,-2.26,
05/25/2025,21:12:23.61,-4.88,-21.48,991.21,1.74,3.05,-0.61,
